identifier,n_unique_mols,median_intra_sim,f50
EN23821_1,9933,0.5758928571428571,0.03732718894009217
EN24292_1,7510,0.7195571955719557,0.08316008316008316
EN25794_1,9977,0.6,0.012444444444444444
EN25873_1,9996,0.6066350710900474,0.04991587212563096
EN25915_1,9948,0.5474137931034483,0.00968783638320775
EN25929_1,9996,0.47857142857142865,0.022533022533022532
EN2611_1,9793,0.6157407407407407,0.1833648393194707
EN26526_1,9103,0.55,0.036404160475482915
EN26565_1,9953,0.381578947368421,0.07137672392934914
EN26744_1,9998,0.37628865979381443,0.039927404718693285
EN26806_1,9813,0.4683544303797469,0.01768172888015717
EN26950_1,9011,0.688,0.006693440428380187
EN27279_1,10000,0.5025125628140703,0.048337332876242714
EN2762_1,8499,0.6179775280898876,0.031180400890868598
EN2780_1,9999,0.5614035087719298,0.41513627324833313
EN3087_1,9950,0.5238095238095238,0.0430939226519337
EN3298_1,10000,0.5707070707070707,0.010752688172043012
EN3723_1,10000,0.5475285171102662,0.05890753302392003
EN3859_1,9055,0.587378640776699,0.04040404040404041
EN4028_1,8544,0.6162162162162163,0.021398002853067047
EN4505_1,10000,0.5876288659793815,0.021202641640597843
EN5723_1,10000,0.673469387755102,0.009879253567508232
EN5738_1,9992,0.5477707006369427,0.016496018202502846
EN6061_1,10000,0.6051502145922747,0.031151419558359622
EN6363_1,8839,0.49411764705882355,0.0255
EN6528_1,9438,0.668918918918919,0.044105854049719326
EN7172_1,9983,0.5441176470588235,0.05890804597701149
EN7424_1,10000,0.5246913580246914,0.05499276410998553
EN8961_1,10000,0.43243243243243246,0.05224065362713543
EN9354_1,9312,0.49375,0.03626943005181347
EN93_1,9997,0.4225352112676056,0.1456344998232591
EN9803_1,9962,0.47959183673469385,0.05149789551869274
EN9951_1,9029,0.6832579185520362,0.034635224760501106
CHEMBL301,1789,0.45848375451263546,0.10844892812105927
