reference_path,query_path,reference_count,query_count,fingerprint_type,distance_type,mean_pairwise,mean_pairwise_median_threshold,s_min,knn,weighted_knn,chamfer,sinkhorn,centroid,MW2_GTM,RP_GTM,wRP_GTM,computation_time
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN1912_1.npz,1780,9999,precomputed,euclidean,214.9422852959453,163.48409347153867,141.8938202247191,150.32022471910113,142.27035542596596,32514.184213533714,1.0334744694577456,84.40998684768958,,,,9.754842758178711
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN19139_1.npz,1780,9953,precomputed,euclidean,244.8420094105216,178.8230515478862,139.32134831460675,147.0990168539326,139.75262814207943,31936.618125978617,1.031203076184628,110.15577943573443,,,,11.280487060546875
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN19659_1.npz,1780,9997,precomputed,euclidean,238.77340882039894,173.311202749095,142.29101123595507,150.94452247191012,142.69772702863798,32244.63420104683,1.0407150662236218,114.3186103787152,,,,20.108866691589355
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN19734_1.npz,1780,9185,precomputed,euclidean,173.3919357403681,135.2707407529951,112.29157303370786,118.20143258426965,112.87064217544098,21724.778283779735,0.9834507562289208,42.20035933252985,,,,10.443747282028198
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN19784_1.npz,1780,8755,precomputed,euclidean,220.71643843967172,169.05005695272638,159.1623595505618,163.49870786516854,159.84914777990392,37716.67402800326,,93.93697034257339,,,,6.645099878311157
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN19801_1.npz,1780,9889,precomputed,euclidean,211.00999095578902,154.74659448513412,122.52022471910112,132.3790168539326,122.86699902266633,24426.160169453975,1.0270378503254505,74.26943345526398,,,,9.829296588897705
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN19861_1.npz,1780,9776,precomputed,euclidean,222.07230042847422,164.25899939767234,123.661797752809,132.62303370786518,124.033876296221,24749.19276903768,1.026508742767358,90.12960204000645,,,,13.95700979232788
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN1993_1.npz,1780,9986,precomputed,euclidean,207.56421439453436,158.42404311777196,120.98539325842697,130.88741573033707,121.37097059445097,27040.623870722382,1.0168147684763498,77.52595486820084,,,,13.95916485786438
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN20878_1.npz,1780,9999,precomputed,euclidean,207.69390169354014,153.98372997899858,121.10786516853932,130.2003370786517,121.44634664720351,24748.634024188934,1.0204752186388495,72.07723600267936,,,,12.19841456413269
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN20884_1.npz,1780,9790,precomputed,euclidean,160.48683155248992,128.86476876199006,104.43651685393259,111.02820224719102,104.96596275864766,19223.341317671093,0.9659197561709282,30.735178730354832,,,,10.934728384017944
